3,5,6,1,4,7,2
4,5,6,1,3,7,2
2,4,5,1,6,7,3
2,5,6,1,3,7,4
4,5,6,1,2,3,7
2,5,6,1,4,7,3
2,3,6,1,4,7,5
2,3,6,1,4,5,7
2,4,6,1,3,7,5
2,4,5,1,3,7,6
2,3,5,1,4,7,6
2,3,5,1,6,7,4
4,5,6,2,3,7,1
4,6,7,2,3,5,1
2,4,5,3,6,7,1
3,4,5,2,6,7,1
3,5,6,2,4,7,1
3,6,7,2,4,5,1
2,3,6,4,5,7,1
2,3,7,4,5,6,1
2,3,5,4,6,7,1
2,4,6,3,5,7,1
2,3,4,5,6,7,1
4,5,7,2,3,6,1
1,3,7,4,5,6,2
1,4,7,2,3,6,5
1,2,4,3,5,7,6
1,3,5,2,4,7,6
3,4,5,1,6,7,2
3,4,7,1,5,6,2
3,4,6,1,5,7,2
3,5,7,1,4,6,2
2,3,4,1,6,7,5
2,4,7,1,3,6,5
3,4,7,1,2,6,5
3,4,6,1,2,7,5